scenario,day,hour_of_day,abs_hour,load_kw,pv_gen_kw,net_kw,batt_soc_kwh,unmet_kw,curtailed_kw
summer,1,0,0,0.15,0.0,-0.15,4.85,0.0,0.0
summer,1,1,1,0.1,0.0,-0.1,4.75,0.0,0.0
summer,1,2,2,0.1,0.0,-0.1,4.65,0.0,0.0
summer,1,3,3,0.1,0.0,-0.1,4.55,0.0,0.0
summer,1,4,4,0.12,0.0,-0.12,4.43,0.0,0.0
summer,1,5,5,0.2,0.0,-0.2,4.23,0.0,0.0
summer,1,6,6,0.4,0.4263,0.0263,4.255,0.0,0.0
summer,1,7,7,0.6,0.7247,0.1247,4.3735,0.0,0.0
summer,1,8,8,0.55,1.1354,0.5854,4.9296,0.0,0.0
summer,1,9,9,0.4,1.6394,1.2394,6.1071,0.0,0.0
summer,1,10,10,0.35,2.1816,1.8316,7.8471,0.0,0.0
summer,1,11,11,0.35,2.6755,2.3255,10.0,0.0,0.0593
summer,1,12,12,0.4,3.0,2.6,10.0,0.0,2.6
summer,1,13,13,0.45,3.0,2.55,10.0,0.0,2.55
summer,1,14,14,0.4,3.0,2.6,10.0,0.0,2.6
summer,1,15,15,0.35,2.6755,2.3255,10.0,0.0,2.3255
summer,1,16,16,0.4,2.1816,1.7816,10.0,0.0,1.7816
summer,1,17,17,0.65,1.6394,0.9894,10.0,0.0,0.9894
summer,1,18,18,0.8,1.1354,0.3354,10.0,0.0,0.3354
summer,1,19,19,0.75,0.7247,-0.0253,9.9747,0.0,0.0
summer,1,20,20,0.55,0.4263,-0.1237,9.851,0.0,0.0
summer,1,21,21,0.4,0.0,-0.4,9.451,0.0,0.0
summer,1,22,22,0.25,0.0,-0.25,9.201,0.0,0.0
summer,1,23,23,0.18,0.0,-0.18,9.021,0.0,0.0
summer,2,0,24,0.15,0.0,-0.15,8.871,0.0,0.0
summer,2,1,25,0.1,0.0,-0.1,8.771,0.0,0.0
summer,2,2,26,0.1,0.0,-0.1,8.671,0.0,0.0
summer,2,3,27,0.1,0.0,-0.1,8.571,0.0,0.0
summer,2,4,28,0.12,0.0,-0.12,8.451,0.0,0.0
summer,2,5,29,0.2,0.0,-0.2,8.251,0.0,0.0
summer,2,6,30,0.4,0.4263,0.0263,8.276,0.0,0.0
summer,2,7,31,0.6,0.7247,0.1247,8.3945,0.0,0.0
summer,2,8,32,0.55,1.1354,0.5854,8.9506,0.0,0.0
summer,2,9,33,0.4,1.6394,1.2394,10.0,0.0,0.1348
summer,2,10,34,0.35,2.1816,1.8316,10.0,0.0,1.8316
summer,2,11,35,0.35,2.6755,2.3255,10.0,0.0,2.3255
summer,2,12,36,0.4,3.0,2.6,10.0,0.0,2.6
summer,2,13,37,0.45,3.0,2.55,10.0,0.0,2.55
summer,2,14,38,0.4,3.0,2.6,10.0,0.0,2.6
summer,2,15,39,0.35,2.6755,2.3255,10.0,0.0,2.3255
summer,2,16,40,0.4,2.1816,1.7816,10.0,0.0,1.7816
summer,2,17,41,0.65,1.6394,0.9894,10.0,0.0,0.9894
summer,2,18,42,0.8,1.1354,0.3354,10.0,0.0,0.3354
summer,2,19,43,0.75,0.7247,-0.0253,9.9747,0.0,0.0
summer,2,20,44,0.55,0.4263,-0.1237,9.851,0.0,0.0
summer,2,21,45,0.4,0.0,-0.4,9.451,0.0,0.0
summer,2,22,46,0.25,0.0,-0.25,9.201,0.0,0.0
summer,2,23,47,0.18,0.0,-0.18,9.021,0.0,0.0
summer,3,0,48,0.15,0.0,-0.15,8.871,0.0,0.0
summer,3,1,49,0.1,0.0,-0.1,8.771,0.0,0.0
summer,3,2,50,0.1,0.0,-0.1,8.671,0.0,0.0
summer,3,3,51,0.1,0.0,-0.1,8.571,0.0,0.0
summer,3,4,52,0.12,0.0,-0.12,8.451,0.0,0.0
summer,3,5,53,0.2,0.0,-0.2,8.251,0.0,0.0
summer,3,6,54,0.4,0.4263,0.0263,8.276,0.0,0.0
summer,3,7,55,0.6,0.7247,0.1247,8.3945,0.0,0.0
summer,3,8,56,0.55,1.1354,0.5854,8.9506,0.0,0.0
summer,3,9,57,0.4,1.6394,1.2394,10.0,0.0,0.1348
summer,3,10,58,0.35,2.1816,1.8316,10.0,0.0,1.8316
summer,3,11,59,0.35,2.6755,2.3255,10.0,0.0,2.3255
summer,3,12,60,0.4,3.0,2.6,10.0,0.0,2.6
summer,3,13,61,0.45,3.0,2.55,10.0,0.0,2.55
summer,3,14,62,0.4,3.0,2.6,10.0,0.0,2.6
summer,3,15,63,0.35,2.6755,2.3255,10.0,0.0,2.3255
summer,3,16,64,0.4,2.1816,1.7816,10.0,0.0,1.7816
summer,3,17,65,0.65,1.6394,0.9894,10.0,0.0,0.9894
summer,3,18,66,0.8,1.1354,0.3354,10.0,0.0,0.3354
summer,3,19,67,0.75,0.7247,-0.0253,9.9747,0.0,0.0
summer,3,20,68,0.55,0.4263,-0.1237,9.851,0.0,0.0
summer,3,21,69,0.4,0.0,-0.4,9.451,0.0,0.0
summer,3,22,70,0.25,0.0,-0.25,9.201,0.0,0.0
summer,3,23,71,0.18,0.0,-0.18,9.021,0.0,0.0
winter,1,0,0,0.2,0.0,-0.2,4.8,0.0,0.0
winter,1,1,1,0.15,0.0,-0.15,4.65,0.0,0.0
winter,1,2,2,0.15,0.0,-0.15,4.5,0.0,0.0
winter,1,3,3,0.15,0.0,-0.15,4.35,0.0,0.0
winter,1,4,4,0.2,0.0,-0.2,4.15,0.0,0.0
winter,1,5,5,0.35,0.0,-0.35,3.8,0.0,0.0
winter,1,6,6,0.6,0.0,-0.6,3.2,0.0,0.0
winter,1,7,7,0.8,0.0,-0.8,2.4,0.0,0.0
winter,1,8,8,0.7,0.2436,-0.4564,1.9436,0.0,0.0
winter,1,9,9,0.55,0.5844,0.0344,1.9763,0.0,0.0
winter,1,10,10,0.5,1.0918,0.5918,2.5384,0.0,0.0
winter,1,11,11,0.5,1.5885,1.0885,3.5725,0.0,0.0
winter,1,12,12,0.55,1.8,1.25,4.76,0.0,0.0
winter,1,13,13,0.55,1.5885,1.0385,5.7466,0.0,0.0
winter,1,14,14,0.5,1.0918,0.5918,6.3087,0.0,0.0
winter,1,15,15,0.55,0.5844,0.0344,6.3414,0.0,0.0
winter,1,16,16,0.7,0.2436,-0.4564,5.885,0.0,0.0
winter,1,17,17,0.95,0.0,-0.95,4.935,0.0,0.0
winter,1,18,18,1.1,0.0,-1.1,3.835,0.0,0.0
winter,1,19,19,1.0,0.0,-1.0,2.835,0.0,0.0
winter,1,20,20,0.8,0.0,-0.8,2.035,0.0,0.0
winter,1,21,21,0.6,0.0,-0.6,1.435,0.0,0.0
winter,1,22,22,0.4,0.0,-0.4,1.035,0.0,0.0
winter,1,23,23,0.25,0.0,-0.25,1.0,0.215,0.0
winter,2,0,24,0.2,0.0,-0.2,1.0,0.2,0.0
winter,2,1,25,0.15,0.0,-0.15,1.0,0.15,0.0
winter,2,2,26,0.15,0.0,-0.15,1.0,0.15,0.0
winter,2,3,27,0.15,0.0,-0.15,1.0,0.15,0.0
winter,2,4,28,0.2,0.0,-0.2,1.0,0.2,0.0
winter,2,5,29,0.35,0.0,-0.35,1.0,0.35,0.0
winter,2,6,30,0.6,0.0,-0.6,1.0,0.6,0.0
winter,2,7,31,0.8,0.0,-0.8,1.0,0.8,0.0
winter,2,8,32,0.7,0.2436,-0.4564,1.0,0.4564,0.0
winter,2,9,33,0.55,0.5844,0.0344,1.0327,0.0,0.0
winter,2,10,34,0.5,1.0918,0.5918,1.5948,0.0,0.0
winter,2,11,35,0.5,1.5885,1.0885,2.6289,0.0,0.0
winter,2,12,36,0.55,1.8,1.25,3.8164,0.0,0.0
winter,2,13,37,0.55,1.5885,1.0385,4.803,0.0,0.0
winter,2,14,38,0.5,1.0918,0.5918,5.3651,0.0,0.0
winter,2,15,39,0.55,0.5844,0.0344,5.3978,0.0,0.0
winter,2,16,40,0.7,0.2436,-0.4564,4.9414,0.0,0.0
winter,2,17,41,0.95,0.0,-0.95,3.9914,0.0,0.0
winter,2,18,42,1.1,0.0,-1.1,2.8914,0.0,0.0
winter,2,19,43,1.0,0.0,-1.0,1.8914,0.0,0.0
winter,2,20,44,0.8,0.0,-0.8,1.0914,0.0,0.0
winter,2,21,45,0.6,0.0,-0.6,1.0,0.5086,0.0
winter,2,22,46,0.4,0.0,-0.4,1.0,0.4,0.0
winter,2,23,47,0.25,0.0,-0.25,1.0,0.25,0.0
winter,3,0,48,0.2,0.0,-0.2,1.0,0.2,0.0
winter,3,1,49,0.15,0.0,-0.15,1.0,0.15,0.0
winter,3,2,50,0.15,0.0,-0.15,1.0,0.15,0.0
winter,3,3,51,0.15,0.0,-0.15,1.0,0.15,0.0
winter,3,4,52,0.2,0.0,-0.2,1.0,0.2,0.0
winter,3,5,53,0.35,0.0,-0.35,1.0,0.35,0.0
winter,3,6,54,0.6,0.0,-0.6,1.0,0.6,0.0
winter,3,7,55,0.8,0.0,-0.8,1.0,0.8,0.0
winter,3,8,56,0.7,0.2436,-0.4564,1.0,0.4564,0.0
winter,3,9,57,0.55,0.5844,0.0344,1.0327,0.0,0.0
